"","CTRL.NORM.175","CTRL.NORM.176","CTRL.NORM.177","SICD248.NORM.187","SICD248.NORM.188","SICD248.NORM.189","CTRL.HYPO.202","CTRL.HYPO.203","CTRL.HYPO.204","SICD248.HYPO.208","SICD248.HYPO.209","SICD248.HYPO.210"
"23064072",6.66817248902266,6.9861583828109,6.87923692242719,6.75860557290497,6.95858351865276,6.92650237779731,6.97297470061407,6.89323882079298,7.04680777256355,6.61370522772559,6.73277180820999,6.6769487616688
"23064073",6.02186943687344,5.96303013619794,5.94490332492457,5.78692754815802,5.45823111644198,5.77836757135554,4.89425607364178,5.78689989536632,5.56800793148428,5.50125414925818,5.39033245443878,5.50947038915763
"23064075",8.37371093026012,8.03832256271547,8.52232341024583,8.81297972232675,8.74108935531409,8.63871431728573,8.06152576736889,7.92379365513284,8.14708143053,8.56003133752115,8.54192776162666,8.3980817943695
"23064076",4.91214262234713,5.06562500298764,4.90192201383081,4.78723294128799,4.65887777381199,4.94428719431553,5.57093116077038,5.37185435492086,5.38007401676495,5.33946763834814,5.07692607310535,5.01952142107352
"23064077",7.45353594007259,7.53497734178714,7.51321178212268,7.45884359802892,7.33597242433294,7.27199606701678,6.90437418884158,7.0920268123015,7.04164866443286,7.00622124880072,6.92160088105599,7.25517774070995
"23064083",6.44433175561387,6.06393267393421,6.75040584720623,5.91638752958394,6.02695944300827,5.9292378579408,6.70347097017046,6.23510996751321,6.70276020057521,6.18913076662061,6.36402221352055,6.09190867952539
"23064085",3.48578723386678,3.30694677161238,3.52684864120526,3.79949762114502,3.73168212510248,3.89254514065067,3.3143821233878,4.20856421643038,3.80904468244994,4.05267758008958,3.60851677986442,3.81511294415312
"23064087",4.37172044668493,4.90755160149409,4.4173057615082,4.44574400309186,4.25785232302619,4.52368786649116,5.01583892665381,5.20802128738048,4.73030300677229,4.57415256639234,4.61802740449861,4.86241036817278
"23064091",6.10338168831046,5.78907419173208,5.69534670879061,6.0349901706744,6.14956271980291,6.07485194216784,5.80756264838521,6.24057138192079,6.25796655358012,6.34703672705404,6.0974466772579,5.86071004872996
"23064092",7.26299217666729,7.473726750498,7.39299579390591,7.54086517504268,7.84966698875422,7.33026309970552,7.80514084610801,7.89519552573565,7.77847675475185,7.84868259671436,7.96039718995369,7.62387835127611
"23064096",5.74341279661111,5.50247159169961,5.63872365076778,5.49076709223237,5.88429945936533,5.93622634924471,6.09101917498457,6.05149591148294,5.79714592186234,5.94624051853977,5.93745625125565,5.65591434377949
"23064097",6.28542282776235,6.37916025727626,6.58353019288049,6.62587202064872,6.7361181794817,6.76451513825821,6.54956114536225,6.95189038225444,6.85545263378192,6.45810634561285,6.71702986789851,6.50730863521966
"23064105",3.91624827767457,4.006556241473,4.06829367330733,3.75163950349802,3.76703500098428,4.19719219859984,4.51080058830305,4.07105935843647,3.89043813553402,4.32127292007706,3.95670537297826,3.79917046693217
"23064109",3.96108764931712,4.17180480945618,4.15983122293731,3.87311208518073,4.27385309204281,4.02337943257076,4.29386438571424,4.36923823792525,4.03815683793617,3.94401602423856,4.30659088540015,4.41162052302679
"23064112",3.48578723386678,3.30694677161238,3.52684864120526,3.79949762114502,3.73168212510248,3.89254514065067,3.3143821233878,4.20856421643038,3.80904468244994,4.05267758008958,3.60851677986442,3.81511294415312
"23064114",4.39245041745683,4.82903622256758,4.44460059183953,4.47015665767948,4.28107778530117,4.72700361437278,4.99531404254088,5.2324339419681,4.76932034341739,4.59737802866733,4.61837689187111,4.77548909860056
"23064115",4.10910018080729,3.93413846746997,3.54988527758904,3.88466245261364,3.57425160999131,3.67644362704858,3.51049990547942,3.6093273694819,3.86494591591017,3.84071219971119,3.48836900591611,3.79864044482492
"23064117",3.64279453858807,3.54831228339913,3.81079931889675,3.46205043154785,3.75672016530464,3.86450803392794,3.46313397929105,3.82700914451725,3.55286365575225,3.3784481755146,3.76554103249338,3.55001827354721
"23064924",3.18545037616675,3.19483227052408,3.603636366132,3.29805673756237,3.61502763713836,3.36039953302674,3.19469827276712,3.12872834363105,3.04551302242353,3.16211632204988,3.43955477420999,3.46428145126418
"23064930",4.5821522596958,4.6024792797729,4.65420615578314,4.84287835086795,4.57635669826494,5.17799883822052,4.69520921777722,5.1736136520311,4.7869539407204,4.86406682458977,4.96183810135735,4.89050063834102
"23064931",4.3060416728482,4.33358564990802,4.45004195221953,4.41071570146199,4.23436445555178,4.72075155938039,4.97992476570795,4.76700565551499,4.73597096296285,4.53489710385335,4.60366439432611,4.53077280925246
"23064932",4.44900658919093,4.41436196428466,4.27413405469332,3.9171557101981,4.39348276818541,4.22860085972295,4.18560828113933,4.08275398432664,4.0722743437114,3.46114382418,3.99187926258803,4.33226046511863
"23064940",3.47313477700387,3.17915889138499,3.70958650487783,3.47030748755915,3.81642311697074,3.85269573225816,3.69870860083941,4.05808404748607,3.77985388770826,3.96954509314017,3.67560075833454,3.99577872065322
"23064941",5.82541581324597,5.48885749030988,5.53516152736066,5.32157198453063,6.07646115554282,5.8058096887387,5.98004793571841,5.92774450940165,5.76955429141069,5.63706134873547,5.90594902752635,5.60572936986442
"23064943",5.26739001927478,5.39732541023964,5.29271331183612,5.22863834032258,5.78295555835851,5.51849523640641,6.03165664229182,5.92858339216653,5.5805692732575,5.66130180738477,5.93633380024643,5.63764955790318
"23064944",4.99153339295001,5.02275646349765,5.30841604776757,5.41076958786488,5.16287918147749,5.36197482951416,5.58862434239812,5.53474440976023,5.54359555056468,5.49124384002306,5.36001728836976,5.33774455614684
"23064945",7.69635263539176,7.69990280099933,7.74178483946011,7.84114167982862,7.81308050325702,8.18557884533855,8.1290837727776,8.32382751379607,8.06876549913498,7.99127875291218,8.23279465055168,7.74808200963906
"23064946",5.28859984672819,5.5891812610864,5.06758205126151,5.66954678223913,5.98682253342681,6.07616989115024,5.77666382558008,6.42644203463139,5.91728590099333,5.70003311233922,5.72393764112126,5.98831884551853
"23064947",4.43613594831496,4.07601047032266,4.46228836136881,4.15227415129423,4.30106564141896,4.61846620783342,4.67677008447983,4.73797226264908,4.33435824592971,4.27165801242109,4.64597284823056,4.26635397212395
"23064948",5.94805264169183,6.07635686211035,5.97581619711955,5.52081676640599,6.33242289986977,6.00872196846619,6.35917409528708,6.50586128322748,6.55270029534094,6.18723188638104,6.09422419175151,5.90973000647241
"23064950",4.89068292858428,4.96097623181203,5.17910933649135,5.04288754516778,5.69814434777008,5.46720843480135,5.27748378436054,5.08236578996508,5.089513358054,5.69134314997931,5.435504770314,5.22094843791274
"23064951",7.09578405101353,7.27784465023062,6.85998195198823,6.69461680472982,6.74167800034937,6.48464267837113,6.41982784069208,6.23557180532583,6.47964127803216,6.49269248104319,6.42642534639617,6.77487848009965
"23064954",6.69373551636299,6.40320380128863,6.59836984110004,6.7469852712676,6.76713612565251,7.12275325608478,7.16381586864688,7.25831945414746,6.84202830542311,7.03176941547257,7.11322148704313,6.84166968854428
"23064955",5.79539612351517,5.17630581562482,5.79346444060058,5.78516292682898,6.36973667679332,5.77328871135527,6.30064138499881,6.42949383629236,6.03097878547204,6.34805254976032,6.21428138448873,6.12831333811303
"23064958",6.93641548038592,7.3099952066461,7.16089464057447,7.31655797458983,7.43871806924513,7.35017941655361,6.7912750800234,7.04501624780504,7.30549282595498,7.46865916006194,7.28446789962287,7.49605878311904
"23064960",5.93216053661155,5.94452532894566,5.95055815684191,6.24757690692473,6.28596104724447,6.43148139990695,6.36531567780997,6.48498704985786,6.03531571905566,6.28670777200678,6.21632827704316,6.38177784792426
"23064961",4.90452872179068,4.64306681725631,4.62098680091027,4.86606311506011,5.3241859088322,5.65431853722189,5.38910412882621,5.05426330294277,5.10691452825204,5.48298277919629,5.18075784835963,5.24444951662817
"23064962",6.53730730703109,6.20539772022776,6.35703462464338,6.14512355683454,6.3054323294069,6.12342810282445,6.49046643841404,6.53265291259307,6.02148215337133,6.46014222386513,6.36379532494395,6.28765410190804
"23064965",6.48449149816679,6.67632808154475,6.27005439214233,6.94343927104493,6.27617463596999,5.89956979027307,6.55476516486044,6.54891860344163,6.91645809619376,6.55439630201547,6.61996340278877,6.78053080730613
"23064966",4.53133567417881,4.4679181827877,4.21737187532092,4.53719223350455,4.38038285054759,4.4070088387709,4.68973436773036,4.74667451925141,4.98365413534434,4.84814843237953,5.0070013150918,4.51995968638109
"23064967",5.82541581324597,5.48885749030988,5.53516152736066,5.32157198453063,6.07646115554282,5.8058096887387,5.98004793571841,5.92774450940165,5.76955429141069,5.63706134873547,5.90594902752635,5.60572936986442
"23064968",8.18816100986366,8.09734589242077,8.44436735982769,8.21323084827391,8.58011055146578,8.49457585207065,8.52405646167536,8.73028766357499,8.43372791537252,8.30677081372428,8.45599027537589,8.33574718743788
"23064969",4.74896911206401,4.65773355744344,4.85317728947804,4.62885415931905,5.20764683789679,4.67549968472847,5.14405131328289,4.99175638418469,4.9127882060158,5.05355471974059,5.35625158745182,4.9778697706241
"23064970",5.29002903296182,5.47544986616207,5.35680024006495,5.38974211246207,5.83869537911875,5.57936575469145,6.11589997029577,5.78467136700498,5.65079319267086,5.75048200502164,6.04544349772853,5.80759465864012
"23064971",4.05438660328316,3.89514399725883,4.16136793335779,3.90833350180244,4.10290543158182,4.19618592750669,4.31977927138988,4.56262555220853,4.38990632903747,4.35625573881207,4.35416437469929,4.07346917297618
"23064972",5.75129562683688,5.38372775238884,5.38656507489577,5.56222989585399,5.25516804615975,5.65937849610349,5.6136176539599,5.6880935891806,5.62626684780479,5.76826809524349,5.73065336361849,5.60953234625066
"23064973",4.71762333323036,4.74806929546446,5.03316047418891,5.14015749591116,4.87990768733783,5.09341242992817,5.31393717436493,5.25800754935931,5.26685869016377,5.22345854875061,5.08610722865012,5.06305738811365
"23064974",6.35142172147178,6.4757367351354,6.44527010926374,6.54592317462897,6.50244647853537,6.90515525650225,6.59536806764873,7.06890885140334,6.54257752080616,6.96520844447725,6.94356647063958,6.59808693373133
"23064975",6.87246153246606,6.82307826632578,6.8784601573768,6.97217917596377,7.26460011678372,7.07059244344932,7.24435769945204,7.50392299227535,7.23649332990793,7.27257203961988,7.4532705024788,7.16183557144065
